portal_slug,research_date,camp_name,section,source_type,blurb,listing_url,source_name,alternate_source_url,alternate_source_domain,alternate_source_title,alt_confidence,alt_score,alt_reason,alt_checked_at,review_old_confidence,review_new_confidence,review_decision,review_new_url,review_new_domain,review_new_title,review_new_score,review_new_reason,review_checked_at,matrix_query,matrix_generated_at,candidate_1_title,candidate_1_url,candidate_1_domain,candidate_1_trust,candidate_2_title,candidate_2_url,candidate_2_domain,candidate_2_trust,candidate_3_title,candidate_3_url,candidate_3_domain,candidate_3_trust,matrix_recommended_title,matrix_recommended_url,matrix_recommended_domain,matrix_recommended_trust,matrix_recommendation_action,candidate_1_token_hits,candidate_2_token_hits,candidate_3_token_hits,matrix_v2_recommendation_action,matrix_v2_recommended_title,matrix_v2_recommended_url,matrix_v2_recommended_domain,matrix_v2_recommended_trust,matrix_v2_recommended_token_hits
atlanta-families,2026-02-20,Career Camp Atlanta,Featured Day Camps,day,"Career discovery should be engaging, inspiring, and hands-on. Career Camp ATL is designed to immerse students grades 6-12 in real-world experiences that go beyond what schools offer, providing practical insights, mentorship, and skill-building opportunities through career exploration workshops that will help shape their future. June 14-17",https://www.atlantaparent.com/directory/69108/career-camp-atlanta/,Atlanta Parent,,,Summer Academy Camps at University of Georgia,none,19,"summer+camp, metro-geo",2026-02-20T04:56:27.239151+00:00,none,none,unchanged,,,Summer Academy Camps at University of Georgia,19,"summer+camp, metro, official-ish-domain",2026-02-20T05:08:40.882386+00:00,"""Career Camp Atlanta"" ""summer camp"" atlanta",2026-02-20T05:10:07.527367+00:00,Home - Career Camp ATL,https://careercampatl.com/,careercampatl.com,unknown,Best Summer Camps in Atlanta: Our Expert Picks for 2026,https://atlantahits.com/best-summer-camps-in-atlanta,atlantahits.com,unknown,Summer Academy Camps at University of Georgia,https://www.georgiacenter.uga.edu/youth-programs/summer-academy-camps/,www.georgiacenter.uga.edu,likely_official,Summer Academy Camps at University of Georgia,https://www.georgiacenter.uga.edu/youth-programs/summer-academy-camps/,www.georgiacenter.uga.edu,likely_official,recommend_replace,1,0,0,manual_review_needed,,,,,0
atlanta-families,2026-02-20,Forefront Arts Theatre Camp,Featured Day Camps,day,"Calling all kids and teens who love the spotlight! One-week theatre camps including K Pop Campers, Wicked, Harry Potter, Tangled, Marvel, Hamilton, Zootopia, Puppetry, Descendants & Zombies, Newsies, High School Musical and Percy Jackson! Full-day camps for ages 5-16, plus Counselor-In-Training and Internship programs. 13 locations. June 1-July 31",https://www.atlantaparent.com/directory/16053/forefront-arts-performance-camp/,Atlanta Parent,,,Forefront Arts - Camp,none,17,"tokens:2, camp",2026-02-20T04:56:32.659449+00:00,none,none,unchanged,,,History Summer Camp | Atlanta History Center,15,"summer+camp, metro",2026-02-20T05:08:41.964926+00:00,"""Forefront Arts Theatre Camp"" ""summer camp"" atlanta",2026-02-20T05:10:08.761371+00:00,Forefront Arts - Camp,https://www.forefrontarts.com/camp,www.forefrontarts.com,unknown,Forefront Arts,https://www.forefrontarts.com/,www.forefrontarts.com,unknown,Mt. Bethel Summer Camp | School Break & Summer Camps,https://www.funclubs.com/camps/mt-bethel-summer-camp,www.funclubs.com,unknown,,,,,manual_review_needed,1,1,0,manual_review_needed,,,,,0
atlanta-families,2026-02-20,ITP Training Academy Racquet Camps,Featured Day Camps,day,"ITP camps deliver a fun, well-rounded racquet experience featuring tennis, pickleball and padel at one convenient facility. Racquet Camp (ages 8+) emphasizes skill development and match play; Day Camp (ages 5-7) combines racquet sports with creative activities, games and character building. June 1-July 31",https://www.atlantaparent.com/directory/68533/itp-atlanta-kids-summer-camp/,Atlanta Parent,,,Junior Summer Camps - Mouratoglou Tennis Center Atlanta,none,16,"summer+camp, metro-geo",2026-02-20T04:56:33.774751+00:00,none,none,unchanged,,,ITP Training Academy Kids Summer Camps - itpta.com,16,"tokens:1, summer+camp",2026-02-20T05:08:43.096969+00:00,"""ITP Training Academy Racquet Camps"" ""summer camp"" atlanta",2026-02-20T05:10:11.096781+00:00,ITP Training Academy,https://itpta.com/,itpta.com,unknown,Junior Summer Camps - Mouratoglou Tennis Center Atlanta,https://www.mouratoglou.com/en/international/atlanta/summer-camps-2026/,www.mouratoglou.com,unknown,2025 Atlanta Summer Camp Guide,https://atlantamom.com/in-around-atlanta/summer-camp-georgia-atlanta/,atlantamom.com,unknown,,,,,manual_review_needed,1,0,0,manual_review_needed,,,,,0
atlanta-families,2026-02-20,MODA Design Camps,Featured Day Camps,day,"Get ready for an unforgettable summer! Young creators ages 6-18 dive into hands-on experiences that ignite imagination, inspire innovation and build a better world. Whether they’re building with LEGO®, designing future cities, or reimagining Atlanta’s neighborhoods, kids and teens explore the power of design in fun and meaningful ways. June 1-July 24",https://www.atlantaparent.com/directory/60961/moda-museum-of-design-atlanta/,Atlanta Parent,https://www.museumofdesign.org/designcamp,www.museumofdesign.org,2026 Summer Design Camp in Atlanta — MODA,low,31,"tokens:2, summer+camp, metro-geo",2026-02-20T04:56:37.021908+00:00,low,low,unchanged,https://www.museumofdesign.org/designcamp,www.museumofdesign.org,2026 Summer Design Camp in Atlanta — MODA,31,"tokens:2, summer+camp, metro, official-ish-domain",2026-02-20T05:08:43.893451+00:00,"""MODA Design Camps"" ""summer camp"" atlanta",2026-02-20T05:10:12.035842+00:00,2026 Summer Design Camp in Atlanta — MODA,https://www.museumofdesign.org/designcamp,www.museumofdesign.org,likely_official,Summer Camp Week: MODA’s Design Camp 2025 - FOX 5 Atlanta,https://www.fox5atlanta.com/news/summer-camp-week-modas-design-camp-2025,www.fox5atlanta.com,unknown,"MODA Design Camp in Atlanta, GA | Creative LEGO, Robotics ...",https://www.campsearch.com/united-states/atlanta/summer-camps/design-camp,www.campsearch.com,low_trust_directory,2026 Summer Design Camp in Atlanta — MODA,https://www.museumofdesign.org/designcamp,www.museumofdesign.org,likely_official,recommend_replace,2,2,2,recommend_replace,2026 Summer Design Camp in Atlanta — MODA,https://www.museumofdesign.org/designcamp,www.museumofdesign.org,likely_official,2
atlanta-families,2026-02-20,The Walker School Summer Programs,Featured Day Camps,day,Walker Summer Programs are the best way to spend your summer! Offering an extensive and diverse selection of enrichment opportunities for students ages 3-14. Half-day and full-day options available weekly. Early drop-off and extended care are available. June 1-July 24,https://www.atlantaparent.com/directory/16323/walker-school-summer-programs/,Atlanta Parent,https://winnie.com/place/atlanta-falcons-summer-camps-the-walker-school-marietta,winnie.com,Atlanta Falcons Summer Camps - The Walker School - Winnie,low,22,"tokens:1, summer+camp, metro-geo",2026-02-20T04:56:43.870488+00:00,low,none,downgraded,,,SUMMER PROGRAMS - Community | The Walker School,20,"tokens:1, summer+camp, official-ish-domain",2026-02-20T05:08:44.851542+00:00,"""The Walker School Summer Programs"" ""summer camp"" atlanta",2026-02-20T05:10:13.102235+00:00,SUMMER PROGRAMS - Community | The Walker School,https://www.thewalkerschool.org/walker-summer-camp,www.thewalkerschool.org,likely_official,Register for Walker Summer Programs,https://thewalkerschool.myschoolapp.com/page/news-detail?pk=1475724&siteId=1062&ssl=1,thewalkerschool.myschoolapp.com,likely_official,Summer Program: Walker School,https://www.livinin.io/events/summer-program-walker-school,www.livinin.io,low_trust_directory,SUMMER PROGRAMS - Community | The Walker School,https://www.thewalkerschool.org/walker-summer-camp,www.thewalkerschool.org,likely_official,recommend_replace,1,1,1,recommend_replace,SUMMER PROGRAMS - Community | The Walker School,https://www.thewalkerschool.org/walker-summer-camp,www.thewalkerschool.org,likely_official,1
atlanta-families,2026-02-20,Zoo Atlanta Summer Safari Camp,Featured Day Camps,day,"Join Zoo Atlanta for an exploration of all things wild! Summer Safari Camp is the perfect experience for children ages 5-14. From Zoo explorations and scientific investigations, young explorers will be immersed in hands-on learning while having fun and meeting friends! Each week campers embark on a different Zoo expedition, exploring wildlife and wild places. May 26 – July 31",https://www.atlantaparent.com/directory/9163/safari-day-camp-zoo-atlanta/,Atlanta Parent,https://zooatlanta.org/program/summer-camp/,zooatlanta.org,Summer Safari Camp - Zoo Atlanta,low,25,"tokens:1, summer+camp, metro-geo",2026-02-20T04:56:47.232263+00:00,low,low,unchanged,https://zooatlanta.org/program/summer-camp/,zooatlanta.org,Summer Safari Camp - Zoo Atlanta,25,"tokens:1, summer+camp, metro, official-ish-domain",2026-02-20T05:08:45.988243+00:00,"""Zoo Atlanta Summer Safari Camp"" ""summer camp"" atlanta",2026-02-20T05:10:14.132243+00:00,Summer Safari Camp - Zoo Atlanta,https://zooatlanta.org/program/summer-camp/,zooatlanta.org,likely_official,Summer Safari Camp at the Zoo | Discover Atlanta,https://discoveratlanta.com/event/detail/summer-safari-camp-at-the-zoo/,discoveratlanta.com,trusted_aggregator,Safari Camp: Summer Session - At Zoo Atlanta (Ages 4-14),https://atlanta.kidsoutandabout.com/content/safari-camp-summer-session-zoo-atlanta-ages-4-14,atlanta.kidsoutandabout.com,trusted_aggregator,Summer Safari Camp - Zoo Atlanta,https://zooatlanta.org/program/summer-camp/,zooatlanta.org,likely_official,recommend_replace,1,1,1,recommend_replace,Summer Safari Camp - Zoo Atlanta,https://zooatlanta.org/program/summer-camp/,zooatlanta.org,likely_official,1
atlanta-families,2026-02-20,Adventure Camp at MHHE,Academic and Enrichment Summer Camps in Metro Atlanta,day,"Summer programs for rising 1st through 5th graders at KSU. Themes include Time Travelers, Around the World, Theatre and Mystery of History",https://www.atlantaparent.com/directory/68582/adventure-academy-mhhe/,Atlanta Parent,,,Summer Camp-Becker Bldg. – Atlanta Belvedere SDA Church,none,19,"summer+camp, metro-geo",2026-02-20T04:56:48.234009+00:00,none,none,unchanged,,,History Summer Camp | Atlanta History Center,15,"summer+camp, metro",2026-02-20T05:08:46.991276+00:00,"""Adventure Camp at MHHE"" ""summer camp"" atlanta",2026-02-20T05:10:14.976751+00:00,History Summer Camp | Atlanta History Center,https://www.atlantahistorycenter.com/history-summer-camp/,www.atlantahistorycenter.com,unknown,25-0048 Summer Camp Flyer v4 - ndacademy.org,https://ndacademy.org/wp-content/uploads/2026/02/25-0048-Summer-Camp-Flyer-v4.pdf,ndacademy.org,likely_official,Mt. Bethel Summer Camp | School Break & Summer Camps,https://www.funclubs.com/camps/mt-bethel-summer-camp,www.funclubs.com,unknown,25-0048 Summer Camp Flyer v4 - ndacademy.org,https://ndacademy.org/wp-content/uploads/2026/02/25-0048-Summer-Camp-Flyer-v4.pdf,ndacademy.org,likely_official,recommend_replace,0,0,0,manual_review_needed,,,,,0
atlanta-families,2026-02-20,Fusion Academy Camps,Academic and Enrichment Summer Camps in Metro Atlanta,day,"Middle school enrichment programs and high school virtual experiences offer options for students to catch up, get ahead, or try something new",https://www.atlantaparent.com/directory/69214/fusion-academy-camps/,Atlanta Parent,,,Junior Summer Camps - Mouratoglou Tennis Center Atlanta,none,16,"summer+camp, metro-geo",2026-02-20T04:56:51.691337+00:00,none,none,unchanged,,,Junior Summer Camps - Mouratoglou Tennis Center Atlanta,15,"summer+camp, metro",2026-02-20T05:08:47.984014+00:00,"""Fusion Academy Camps"" ""summer camp"" atlanta",2026-02-20T05:10:16.012427+00:00,Fusion Academy Summer Programs - TeenLife,https://www.teenlife.com/l/summer/fusion-academy-summer-programs/,www.teenlife.com,unknown,Junior Summer Camps - Mouratoglou Tennis Center Atlanta,https://www.mouratoglou.com/en/international/atlanta/summer-camps-2026/,www.mouratoglou.com,unknown,25-0048 Summer Camp Flyer v4 - ndacademy.org,https://ndacademy.org/wp-content/uploads/2026/02/25-0048-Summer-Camp-Flyer-v4.pdf,ndacademy.org,likely_official,25-0048 Summer Camp Flyer v4 - ndacademy.org,https://ndacademy.org/wp-content/uploads/2026/02/25-0048-Summer-Camp-Flyer-v4.pdf,ndacademy.org,likely_official,recommend_replace,1,0,0,manual_review_needed,,,,,0
atlanta-families,2026-02-20,The Howard School Summer Camps,Academic and Enrichment Summer Camps in Metro Atlanta,day,"Weeklong camps for K-12th grade will develop student’s math, reading, speaking, and motor skills while keeping it engaging and fun",https://www.atlantaparent.com/directory/69436/the-howard-school-summer-camps/,Atlanta Parent,,,"2026 Guide to Summer Camps in the Atlanta, GA area",none,16,"summer+camp, metro-geo",2026-02-20T04:56:52.815670+00:00,none,none,unchanged,,,"2026 Guide to Summer Camps in the Atlanta, GA area",15,"summer+camp, metro, trusted-aggregator",2026-02-20T05:08:48.850460+00:00,"""The Howard School Summer Camps"" ""summer camp"" atlanta",2026-02-20T05:10:18.010325+00:00,Summer Programs - The Howard School,https://www.howardschool.org/learning/summer,www.howardschool.org,likely_official,"2026 Guide to Summer Camps in the Atlanta, GA area",https://atlanta.kidsoutandabout.com/content/guide-summer-camps-atlanta-ga-area,atlanta.kidsoutandabout.com,trusted_aggregator,Best Summer Camps In Atlanta | Summer Camp Hub,https://summercamphub.com/atlanta-summer-camps/,summercamphub.com,trusted_aggregator,Summer Programs - The Howard School,https://www.howardschool.org/learning/summer,www.howardschool.org,likely_official,recommend_replace,1,0,0,recommend_replace,Summer Programs - The Howard School,https://www.howardschool.org/learning/summer,www.howardschool.org,likely_official,1
atlanta-families,2026-02-20,Squirrel Hollow Camp at the Bedford School,Academic and Enrichment Summer Camps in Metro Atlanta,day,Campers ages 6-14 enjoy an individualized academic program along with recreational activities that make learning feel exciting and achievable. June 8-July 3,https://www.atlantaparent.com/directory/16425/bedford-school-squirrel-hollow-camp/,Atlanta Parent,https://www.livinin.io/events/squirrel-hollow-summer-camp-the-bedford-school,www.livinin.io,Squirrel Hollow Summer Camp: The Bedford School,low,30,"tokens:3, summer+camp",2026-02-20T04:56:54.082548+00:00,low,low,replaced_same_conf,https://www.thebedfordschool.org/programs/squirrel-hollow.cfm,www.thebedfordschool.org,Squirrel Hollow - The Bedford School,24,"tokens:3, official-ish-domain",2026-02-20T05:08:49.810955+00:00,"""Squirrel Hollow Camp at the Bedford School"" ""summer camp"" atlanta",2026-02-20T05:10:19.278584+00:00,Squirrel Hollow - The Bedford School,https://www.thebedfordschool.org/programs/squirrel-hollow.cfm,www.thebedfordschool.org,likely_official,The Bedford School | Maximize the Potential of Students with ...,https://www.thebedfordschool.org/,www.thebedfordschool.org,likely_official,About Us - The Bedford School,https://www.thebedfordschool.org/about/,www.thebedfordschool.org,likely_official,Squirrel Hollow - The Bedford School,https://www.thebedfordschool.org/programs/squirrel-hollow.cfm,www.thebedfordschool.org,likely_official,recommend_replace,3,1,1,recommend_replace,Squirrel Hollow - The Bedford School,https://www.thebedfordschool.org/programs/squirrel-hollow.cfm,www.thebedfordschool.org,likely_official,3
atlanta-families,2026-02-20,Swift School Summer Camps,Academic and Enrichment Summer Camps in Metro Atlanta,day,"Summer Explorations, Multisensory Math Clinic and Swift Skills for rising K-6th grade blend academics, enrichment, and life skills into fun, confidence-building experiences. June 1-July 17",https://www.atlantaparent.com/directory/15959/swift-school-2/,Atlanta Parent,,,"2026 Guide to Summer Camps in the Atlanta, GA area",none,16,"summer+camp, metro-geo",2026-02-20T04:56:55.148661+00:00,none,none,unchanged,,,"2026 Guide to Summer Camps in the Atlanta, GA area",15,"summer+camp, metro, trusted-aggregator",2026-02-20T05:08:51.276243+00:00,"""Swift School Summer Camps"" ""summer camp"" atlanta",2026-02-20T05:10:20.414481+00:00,Summer Programs - Swift School,https://www.theswiftschool.org/programs/summer-programs,www.theswiftschool.org,likely_official,"2026 Guide to Summer Camps in the Atlanta, GA area",https://atlanta.kidsoutandabout.com/content/guide-summer-camps-atlanta-ga-area,atlanta.kidsoutandabout.com,trusted_aggregator,2025 Atlanta Summer Camp Guide,https://atlantamom.com/in-around-atlanta/summer-camp-georgia-atlanta/,atlantamom.com,unknown,Summer Programs - Swift School,https://www.theswiftschool.org/programs/summer-programs,www.theswiftschool.org,likely_official,recommend_replace,1,0,0,recommend_replace,Summer Programs - Swift School,https://www.theswiftschool.org/programs/summer-programs,www.theswiftschool.org,likely_official,1
atlanta-families,2026-02-20,Wealthy Habits Money Smart Camp,Academic and Enrichment Summer Camps in Metro Atlanta,day,"Through fun games and activities, kids ages 11-18 learn earning, budgeting, saving, and investing. June 1-July 23",https://www.atlantaparent.com/directory/15947/wealthy-habits-financial-literacy-programs/,Atlanta Parent,,,History Summer Camp | Atlanta History Center,none,16,"summer+camp, metro-geo",2026-02-20T04:56:56.111952+00:00,none,none,unchanged,,,History Summer Camp | Atlanta History Center,15,"summer+camp, metro",2026-02-20T05:08:52.231435+00:00,"""Wealthy Habits Money Smart Camp"" ""summer camp"" atlanta",2026-02-20T05:10:21.222120+00:00,Mt. Bethel Summer Camp | School Break & Summer Camps,https://www.funclubs.com/camps/mt-bethel-summer-camp,www.funclubs.com,unknown,YMCA Atlanta Building Communities Where Everyone Belongs,https://ymcaatlanta.org/,ymcaatlanta.org,likely_official,History Summer Camp | Atlanta History Center,https://www.atlantahistorycenter.com/history-summer-camp/,www.atlantahistorycenter.com,unknown,YMCA Atlanta Building Communities Where Everyone Belongs,https://ymcaatlanta.org/,ymcaatlanta.org,likely_official,recommend_replace,0,0,0,manual_review_needed,,,,,0
atlanta-families,2026-02-20,Camp Carlos at Michael C. Carlos Museum,Art Summer Camps in Metro Atlanta,day,Camp Carlos offers creative and educational half-day camps for ages 7-17 centered on the Museum’s collections. June 1-July 24,https://www.atlantaparent.com/directory/52557/michael-c-carlos-museum-camp-carlos/,Atlanta Parent,https://carlos.emory.edu/camp,carlos.emory.edu,Camp | Emory | Michael C. Carlos Museum,low,28,"tokens:3, camp",2026-02-20T04:56:59.417139+00:00,low,low,unchanged,https://carlos.emory.edu/camp,carlos.emory.edu,Camp | Emory | Michael C. Carlos Museum,29,"tokens:3, camp, official-ish-domain",2026-02-20T05:08:53.272975+00:00,"""Camp Carlos at Michael C. Carlos Museum"" ""summer camp"" atlanta",2026-02-20T05:10:22.042319+00:00,Camp | Emory | Michael C. Carlos Museum,https://carlos.emory.edu/camp,carlos.emory.edu,likely_official,Camp Carlos Summer 2025 | Kids Out and About Atlanta,https://atlanta.kidsoutandabout.com/content/camp-carlos-summer-2025,atlanta.kidsoutandabout.com,trusted_aggregator,Welcome to the Carlos Museum | Emory | Michael C. Carlos Museum,https://carlos.emory.edu/,carlos.emory.edu,likely_official,Camp | Emory | Michael C. Carlos Museum,https://carlos.emory.edu/camp,carlos.emory.edu,likely_official,recommend_replace,3,1,3,recommend_replace,Camp | Emory | Michael C. Carlos Museum,https://carlos.emory.edu/camp,carlos.emory.edu,likely_official,3
atlanta-families,2026-02-20,Atlanta Dance Theatre,Dance/Music Camps in Metro Atlanta,day,"Dance camps, workshops and intensives for ages 3-14, at all experience levels",https://www.atlantaparent.com/directory/69217/atlanta-dance-theatre/,Atlanta Parent,https://atlanta.kidsoutandabout.com/content/dance-summer-camps-atlanta,atlanta.kidsoutandabout.com,Dance Summer Camps for Atlanta | Kids Out and About Atlanta,low,22,"tokens:1, summer+camp, metro-geo",2026-02-20T04:57:07.961451+00:00,low,none,downgraded,,,Dance Summer Camps for Atlanta | Kids Out and About Atlanta,21,"tokens:1, summer+camp, metro, trusted-aggregator",2026-02-20T05:08:54.384102+00:00,"""Atlanta Dance Theatre"" ""summer camp"" atlanta",2026-02-20T05:10:22.982392+00:00,Dance Summer Camps for Atlanta | Kids Out and About Atlanta,https://atlanta.kidsoutandabout.com/content/dance-summer-camps-atlanta,atlanta.kidsoutandabout.com,trusted_aggregator,Summer Camps,https://www.georgiaballet.org/summerprograms,www.georgiaballet.org,likely_official,Terminus Modern Ballet Theatre,https://www.terminusmbt.com/,www.terminusmbt.com,unknown,Summer Camps,https://www.georgiaballet.org/summerprograms,www.georgiaballet.org,likely_official,recommend_replace,0,0,0,manual_review_needed,,,,,0
atlanta-families,2026-02-20,Dance 411 Studios,Dance/Music Camps in Metro Atlanta,day,"Summer dance camp for ages 5-13 includes hip-hop, Afro beats, jazz and musical theater",https://www.atlantaparent.com/directory/69848/dance-411-studios/,Atlanta Parent,https://atlanta.kidsoutandabout.com/content/summer-kids-dance-acting-camps,atlanta.kidsoutandabout.com,Summer Kids Dance & Acting Camps | Kids Out and About Atlanta,low,22,"tokens:1, summer+camp, metro-geo",2026-02-20T04:57:10.469916+00:00,low,none,downgraded,,,Summer Kids Dance & Acting Camps | Kids Out and About Atlanta,21,"tokens:1, summer+camp, metro, trusted-aggregator",2026-02-20T05:08:55.415769+00:00,"""Dance 411 Studios"" ""summer camp"" atlanta",2026-02-20T05:10:23.869516+00:00,Dance 411 - Home,https://www.dance411.com/,www.dance411.com,unknown,Dance 411 | Grant Park,https://glenwoodpark.com/dance411?s=0.0.0.20,glenwoodpark.com,unknown,Summer Kids Dance & Acting Camps | Kids Out and About Atlanta,https://atlanta.kidsoutandabout.com/content/summer-kids-dance-acting-camps,atlanta.kidsoutandabout.com,trusted_aggregator,Summer Kids Dance & Acting Camps | Kids Out and About Atlanta,https://atlanta.kidsoutandabout.com/content/summer-kids-dance-acting-camps,atlanta.kidsoutandabout.com,trusted_aggregator,recommend_fallback,0,0,0,manual_review_needed,,,,,0
